Date,BAC,C,GS,JPM
2019-04-12,28.3297176361084,61.57610321044922,196.21104431152344,103.1220932006836
2019-04-15,28.01984977722168,61.539588928222656,188.72479248046875,101.94446563720703
2019-04-16,28.05740737915039,63.30229568481445,190.54676818847656,103.02009582519531
2019-04-17,28.198259353637695,64.25213623046875,196.26771545410156,105.98736572265625
2019-04-18,28.198259353637695,63.631080627441406,194.38906860351562,105.20845794677734
2019-04-22,28.217037200927734,63.10136413574219,193.15235900878906,105.33827209472656
2019-04-23,28.235816955566406,63.201820373535156,192.71810913085938,105.46809387207031
2019-04-24,28.188865661621094,62.8639030456543,189.3195037841797,105.29190826416016
2019-04-25,28.24520492553711,62.77256393432617,190.13140869140625,105.34754180908203
2019-04-26,28.49873924255371,63.48495864868164,191.71737670898438,106.14500427246094
2019-04-29,28.893123626708984,64.87319946289062,195.34254455566406,107.67501831054688
2019-04-30,28.71470832824707,64.57180786132812,194.39849853515625,107.61009979248047
2019-05-01,28.414230346679688,63.89595413208008,193.27505493164062,106.78483581542969
2019-05-02,28.63958740234375,64.26126861572266,193.52052307128906,107.01665496826172
2019-05-03,28.83677864074707,64.9598617553711,195.90896606445312,107.67501831054688
2019-05-06,28.611417770385742,64.72087860107422,194.87994384765625,106.71990966796875
2019-05-07,28.094966888427734,62.652679443359375,191.29258728027344,104.97663116455078
2019-05-08,27.982284545898438,62.70783615112305,189.70657348632812,104.42028045654297
2019-05-09,27.897775650024414,62.165489196777344,190.34852600097656,104.33680725097656
2019-05-10,27.77570915222168,62.413692474365234,190.74501037597656,104.32754516601562
2019-05-13,26.526832580566406,59.178096771240234,184.06117248535156,101.49008178710938
2019-05-14,26.874265670776367,59.986995697021484,185.29788208007812,102.29681396484375
2019-05-15,26.56439208984375,59.62851333618164,185.41116333007812,101.90736389160156
2019-05-16,26.84609603881836,60.648826599121094,187.9978485107422,103.21482849121094
2019-05-17,26.667682647705078,59.81234359741211,186.38352966308594,102.71408081054688
2019-05-20,26.667682647705078,59.711246490478516,186.20416259765625,103.25190734863281
2019-05-21,26.93999481201172,60.74073791503906,187.9695281982422,103.60428619384766
2019-05-22,26.752195358276367,59.435482025146484,184.58038330078125,102.76045989990234
2019-05-23,26.066722869873047,58.73688888549805,181.22898864746094,100.73899841308594
2019-05-24,26.461101531982422,59.187294006347656,182.20138549804688,101.73119354248047
2019-05-28,26.19818115234375,58.63577651977539,178.84056091308594,100.62772369384766
2019-05-29,26.057331085205078,58.56223678588867,178.3284912109375,100.34954833984375
2019-05-30,25.503318786621094,58.47031784057617,177.6836395263672,99.27389526367188
2019-05-31,24.977479934692383,57.12828826904297,173.055908203125,98.25390625
2019-06-03,25.05259895324707,57.551124572753906,173.71975708007812,98.71753692626953
2019-06-04,26.216962814331055,60.5568962097168,180.06387329101562,101.75898742675781
2019-06-05,26.20757484436035,60.46498489379883,178.69833374023438,102.12064361572266
2019-06-06,26.320859909057617,61.0992317199707,179.9975128173828,102.34318542480469
2019-06-07,25.990436553955078,60.38225173950195,179.9975128173828,101.22117614746094
2019-06-10,26.500232696533203,61.69670867919922,184.08470153808594,102.31536102294922
2019-06-11,26.660728454589844,62.39529037475586,184.6631317138672,102.63064575195312
2019-06-12,26.386947631835938,61.4117546081543,180.3863067626953,101.32318115234375
2019-06-13,26.37750816345215,61.65995407104492,181.55271911621094,101.57354736328125
2019-06-14,26.471912384033203,62.027626037597656,181.75184631347656,101.83318328857422
2019-06-17,26.36806869506836,61.16357421875,180.9647674560547,101.27680969238281
2019-06-18,27.019479751586914,62.48723220825195,184.90020751953125,102.65845489501953
2019-06-19,26.73625373840332,62.12873077392578,185.526123046875,101.91664123535156
2019-06-20,26.68905258178711,62.59751892089844,185.58299255371094,102.17627716064453
2019-06-21,26.547441482543945,62.4780387878418,185.8106231689453,101.48081970214844
2019-06-24,26.41526985168457,61.96327209472656,187.28048706054688,100.75755310058594
2019-06-25,26.20757484436035,61.16357421875,185.92437744140625,99.9229965209961
2019-06-26,26.349180221557617,61.788631439208984,186.82528686523438,100.59063720703125
2019-06-27,26.632404327392578,62.64349365234375,189.015869140625,100.9244613647461
2019-06-28,27.37822723388672,64.37158966064453,194.02291870117188,103.66918182373047
2019-07-01,27.774736404418945,65.02420806884766,196.16607666015625,105.4124526977539
2019-07-02,27.519838333129883,64.74846649169922,195.3315887451172,105.52373504638672
2019-07-03,27.425430297851562,65.12532806396484,195.3884735107422,105.35564422607422
2019-07-05,27.623687744140625,65.6308822631836,197.15231323242188,105.98130798339844
2019-07-08,27.567041397094727,65.3826904296875,195.11346435546875,105.40233612060547
2019-07-09,27.708656311035156,65.77796173095703,197.029052734375,105.85057830810547
2019-07-10,27.39710807800293,65.3826904296875,195.3220977783203,105.54241943359375
2019-07-11,27.718095779418945,65.82390594482422,200.42398071289062,106.55096435546875
2019-07-12,27.80306625366211,65.97099304199219,202.88006591796875,107.67154693603516
2019-07-15,27.585922241210938,65.91584014892578,200.64207458496094,106.36418914794922
2019-07-16,27.368785858154297,65.5573501586914,204.37840270996094,107.50346374511719
2019-07-17,27.557600021362305,65.0977554321289,202.27316284179688,106.44823455810547
2019-07-18,27.831388473510742,65.98936462402344,203.43008422851562,107.08324432373047
2019-07-19,27.755857467651367,65.18966674804688,202.48178100585938,106.02800750732422
2019-07-22,27.916349411010742,65.36432647705078,202.93695068359375,106.7096939086914
2019-07-23,28.558324813842773,66.17321014404297,208.08624267578125,108.66143035888672
2019-07-24,28.954835891723633,67.11080169677734,210.55186462402344,109.10033416748047
2019-07-25,28.643291473388672,65.62168884277344,208.60781860351562,108.05442810058594
2019-07-26,29.049243927001953,66.3294906616211,210.6561737060547,108.53069305419922
2019-07-29,28.81322479248047,65.96180725097656,208.9302520751953,108.18517303466797
2019-07-30,29.16253089904785,65.91584014892578,209.9543914794922,107.94237518310547
2019-07-31,28.964275360107422,65.41028594970703,208.7500762939453,108.32525634765625
2019-08-01,27.8408260345459,62.82732391357422,200.6610565185547,105.46770477294922
