date,ticker,close,high,low,open
2018-09-28 00:00:00+00:00,gbpusd,1.3041,1.3041,1.3041,1.3041
2018-10-01 00:00:00+00:00,gbpusd,1.3043,1.3043,1.3043,1.3043
2018-10-02 00:00:00+00:00,gbpusd,1.2978,1.2978,1.2978,1.2978
2018-10-03 00:00:00+00:00,gbpusd,1.3005,1.3005,1.3005,1.3005
2018-10-04 00:00:00+00:00,gbpusd,1.3027,1.3027,1.3027,1.3027
2018-10-05 00:00:00+00:00,gbpusd,1.3071,1.3071,1.3071,1.3071
2018-10-08 00:00:00+00:00,gbpusd,1.3071,1.3071,1.3071,1.3071
2018-10-09 00:00:00+00:00,gbpusd,1.3089,1.3089,1.3089,1.3089
2018-10-10 00:00:00+00:00,gbpusd,1.32,1.32,1.32,1.32
2018-10-11 00:00:00+00:00,gbpusd,1.321,1.321,1.321,1.321
2018-10-12 00:00:00+00:00,gbpusd,1.3158,1.3158,1.3158,1.3158
2018-10-15 00:00:00+00:00,gbpusd,1.3144,1.3144,1.3144,1.3144
2018-10-16 00:00:00+00:00,gbpusd,1.321,1.321,1.321,1.321
2018-10-17 00:00:00+00:00,gbpusd,1.3135,1.3135,1.3135,1.3135
2018-10-18 00:00:00+00:00,gbpusd,1.3071,1.3071,1.3071,1.3071
2018-10-19 00:00:00+00:00,gbpusd,1.3046,1.3046,1.3046,1.3046
2018-10-22 00:00:00+00:00,gbpusd,1.2974,1.2974,1.2974,1.2974
2018-10-23 00:00:00+00:00,gbpusd,1.2975,1.2975,1.2975,1.2975
2018-10-24 00:00:00+00:00,gbpusd,1.291,1.291,1.291,1.291
2018-10-25 00:00:00+00:00,gbpusd,1.2815,1.2815,1.2815,1.2815
2018-10-26 00:00:00+00:00,gbpusd,1.2821,1.2821,1.2821,1.2821
2018-10-29 00:00:00+00:00,gbpusd,1.2806,1.2806,1.2806,1.2806
2018-10-30 00:00:00+00:00,gbpusd,1.2731,1.2731,1.2731,1.2731
2018-10-31 00:00:00+00:00,gbpusd,1.2779,1.2779,1.2779,1.2779
2018-11-01 00:00:00+00:00,gbpusd,1.2974,1.2974,1.2974,1.2974
2018-11-02 00:00:00+00:00,gbpusd,1.2965,1.2965,1.2965,1.2965
2018-11-05 00:00:00+00:00,gbpusd,1.3018,1.3018,1.3018,1.3018
2018-11-06 00:00:00+00:00,gbpusd,1.308,1.308,1.308,1.308
2018-11-07 00:00:00+00:00,gbpusd,1.3135,1.3135,1.3135,1.3135
2018-11-08 00:00:00+00:00,gbpusd,1.3128,1.3128,1.3128,1.3128
2018-11-09 00:00:00+00:00,gbpusd,1.3029,1.3029,1.3029,1.3029
2018-11-12 00:00:00+00:00,gbpusd,1.2866,1.2866,1.2866,1.2866
2018-11-13 00:00:00+00:00,gbpusd,1.2997,1.2997,1.2997,1.2997
2018-11-14 00:00:00+00:00,gbpusd,1.3004,1.3004,1.3004,1.3004
2018-11-15 00:00:00+00:00,gbpusd,1.2782,1.2782,1.2782,1.2782
2018-11-16 00:00:00+00:00,gbpusd,1.284,1.284,1.284,1.284
2018-11-19 00:00:00+00:00,gbpusd,1.2864,1.2864,1.2864,1.2864
2018-11-20 00:00:00+00:00,gbpusd,1.2823,1.2823,1.2823,1.2823
2018-11-21 00:00:00+00:00,gbpusd,1.2784,1.2784,1.2784,1.2784
2018-11-22 00:00:00+00:00,gbpusd,1.2869,1.2869,1.2869,1.2869
2018-11-23 00:00:00+00:00,gbpusd,1.2802,1.2802,1.2802,1.2802
2018-11-26 00:00:00+00:00,gbpusd,1.2826,1.2826,1.2826,1.2826
2018-11-27 00:00:00+00:00,gbpusd,1.2739,1.2739,1.2739,1.2739
2018-11-28 00:00:00+00:00,gbpusd,1.2753,1.2753,1.2753,1.2753
2018-11-29 00:00:00+00:00,gbpusd,1.2778,1.2778,1.2778,1.2778
2018-11-30 00:00:00+00:00,gbpusd,1.276,1.276,1.276,1.276
2018-12-03 00:00:00+00:00,gbpusd,1.2737,1.2737,1.2737,1.2737
2018-12-04 00:00:00+00:00,gbpusd,1.2727,1.2727,1.2727,1.2727
2018-12-05 00:00:00+00:00,gbpusd,1.2738,1.2738,1.2738,1.2738
2018-12-06 00:00:00+00:00,gbpusd,1.2778,1.2778,1.2778,1.2778
2018-12-07 00:00:00+00:00,gbpusd,1.2759,1.2759,1.2759,1.2759
2018-12-10 00:00:00+00:00,gbpusd,1.2536,1.2536,1.2536,1.2536
2018-12-11 00:00:00+00:00,gbpusd,1.2527,1.2527,1.2527,1.2527
2018-12-12 00:00:00+00:00,gbpusd,1.2661,1.2661,1.2661,1.2661
2018-12-13 00:00:00+00:00,gbpusd,1.2616,1.2616,1.2616,1.2616
2018-12-14 00:00:00+00:00,gbpusd,1.2561,1.2561,1.2561,1.2561
2018-12-17 00:00:00+00:00,gbpusd,1.261,1.261,1.261,1.261
2018-12-18 00:00:00+00:00,gbpusd,1.2632,1.2632,1.2632,1.2632
2018-12-19 00:00:00+00:00,gbpusd,1.2643,1.2643,1.2643,1.2643
2018-12-20 00:00:00+00:00,gbpusd,1.2636,1.2636,1.2636,1.2636
2018-12-21 00:00:00+00:00,gbpusd,1.2676,1.2676,1.2676,1.2676
2018-12-24 00:00:00+00:00,gbpusd,1.2649,1.2649,1.2649,1.2649
2018-12-26 00:00:00+00:00,gbpusd,1.2649,1.2649,1.2649,1.2649
2018-12-27 00:00:00+00:00,gbpusd,1.2637,1.2637,1.2637,1.2637
2018-12-28 00:00:00+00:00,gbpusd,1.2688,1.2688,1.2688,1.2688
2018-12-31 00:00:00+00:00,gbpusd,1.2769,1.2769,1.2769,1.2769
2019-01-02 00:00:00+00:00,gbpusd,1.2608,1.2608,1.2608,1.2608
2019-01-03 00:00:00+00:00,gbpusd,1.2601,1.2601,1.2601,1.2601
2019-01-04 00:00:00+00:00,gbpusd,1.2724,1.2724,1.2724,1.2724
2019-01-07 00:00:00+00:00,gbpusd,1.2772,1.2772,1.2772,1.2772
2019-01-08 00:00:00+00:00,gbpusd,1.2731,1.2731,1.2731,1.2731
2019-01-09 00:00:00+00:00,gbpusd,1.2743,1.2743,1.2743,1.2743
2019-01-10 00:00:00+00:00,gbpusd,1.2779,1.2779,1.2779,1.2779
2019-01-11 00:00:00+00:00,gbpusd,1.2818,1.2818,1.2818,1.2818
2019-01-14 00:00:00+00:00,gbpusd,1.2912,1.2912,1.2912,1.2912
2019-01-15 00:00:00+00:00,gbpusd,1.281,1.281,1.281,1.281
2019-01-16 00:00:00+00:00,gbpusd,1.2861,1.2861,1.2861,1.2861
2019-01-17 00:00:00+00:00,gbpusd,1.2909,1.2909,1.2909,1.2909
2019-01-18 00:00:00+00:00,gbpusd,1.2906,1.2906,1.2906,1.2906
